node,date,day,hour,minute,speed,
0,2021-05-01,1,0,30,85.83585955530748,
1,2021-05-01,1,0,30,90.47454133478813,
2,2021-05-01,1,0,30,84.5091402109517,
3,2021-05-01,1,0,30,74.91029666631076,
4,2021-05-01,1,0,30,87.30194474177388,
5,2021-05-01,1,0,30,88.22842160053185,
6,2021-05-01,1,0,30,75.61064043127126,
7,2021-05-01,1,0,30,82.04496431809103,
8,2021-05-01,1,0,30,84.06096648384097,
9,2021-05-01,1,0,30,87.25370468750765,
10,2021-05-01,1,0,30,88.15494873482767,
11,2021-05-01,1,0,30,88.6334887499874,
12,2021-05-01,1,0,30,69.8503425567731,
13,2021-05-01,1,0,30,88.99548387437889,
14,2021-05-01,1,0,30,98.6643279047285,
15,2021-05-01,1,0,30,88.52129819080257,
16,2021-05-01,1,0,30,26.592550143266475,
17,2021-05-01,1,0,30,86.04671812669774,
18,2021-05-01,1,0,30,95.65418507767669,
19,2021-05-01,1,0,30,86.9253423619105,
20,2021-05-01,1,0,30,98.88983563567635,
21,2021-05-01,1,0,30,85.12377166590744,
22,2021-05-01,1,0,30,92.04596688553522,
23,2021-05-01,1,0,30,84.34077114859552,
24,2021-05-01,1,0,30,102.68436809372572,
25,2021-05-01,1,0,30,58.570076148478165,
26,2021-05-01,1,0,30,100.67988043326977,
27,2021-05-01,1,0,30,91.56200884122784,
28,2021-05-01,1,0,30,91.05948345539416,
29,2021-05-01,1,0,30,92.36405281192745,
30,2021-05-01,1,0,30,99.85023330111801,
31,2021-05-01,1,0,30,89.11326080834449,
32,2021-05-01,1,0,30,98.77802613295998,
33,2021-05-01,1,0,30,88.0983576171236,
34,2021-05-01,1,0,30,92.9191496534788,
35,2021-05-01,1,0,30,92.81622409871296,
36,2021-05-01,1,0,30,93.47048107502303,
37,2021-05-01,1,0,30,95.01478722650623,
38,2021-05-01,1,0,30,104.11029856691889,
39,2021-05-01,1,0,30,93.83257961869683,
40,2021-05-01,1,0,30,93.30826876924814,
41,2021-05-01,1,0,30,77.27321516641567,
42,2021-05-01,1,0,30,84.19657806381605,
43,2021-05-01,1,0,30,78.88360168195331,
44,2021-05-01,1,0,30,95.63813571436222,
45,2021-05-01,1,0,30,90.71983361941503,
46,2021-05-01,1,0,30,124.04054030889493,
47,2021-05-01,1,0,30,78.19880842044849,
48,2021-05-01,1,0,30,88.25222982966814,
49,2021-05-01,1,0,30,88.89192156498184,
50,2021-05-01,1,0,30,86.21543663904785,
51,2021-05-01,1,0,30,74.86513075051613,
52,2021-05-01,1,0,30,86.50651450703066,
53,2021-05-01,1,0,30,0.0,
54,2021-05-01,1,0,30,86.99453705841607,
55,2021-05-01,1,0,30,98.74777291323711,
56,2021-05-01,1,0,30,97.482626963829,
57,2021-05-01,1,0,30,99.64967744837494,
58,2021-05-01,1,0,30,85.05247997860918,
59,2021-05-01,1,0,30,94.79088454193423,
60,2021-05-01,1,0,30,84.20180048352208,
61,2021-05-01,1,0,30,99.4982406339951,
62,2021-05-01,1,0,30,84.98207891716987,
63,2021-05-01,1,0,30,98.2194061619816,
64,2021-05-01,1,0,30,92.45872281067024,
65,2021-05-01,1,0,30,101.36694213257239,
66,2021-05-01,1,0,30,82.852250402573,
67,2021-05-01,1,0,30,85.27905612627707,
68,2021-05-01,1,0,30,43.83392761372481,
69,2021-05-01,1,0,30,92.61058821711302,
70,2021-05-01,1,0,30,93.41791349698312,
71,2021-05-01,1,0,30,83.2225222886143,
72,2021-05-01,1,0,30,60.15576258504782,
73,2021-05-01,1,0,30,92.20047825940544,
74,2021-05-01,1,0,30,85.86854340811529,
75,2021-05-01,1,0,30,91.5648844576847,
76,2021-05-01,1,0,30,92.90187579734902,
77,2021-05-01,1,0,30,86.85693357464731,
78,2021-05-01,1,0,30,105.23963924948728,
79,2021-05-01,1,0,30,99.71848151414173,
80,2021-05-01,1,0,30,85.23770614122307,
81,2021-05-01,1,0,30,98.73015248141533,
82,2021-05-01,1,0,30,97.22793493283281,
83,2021-05-01,1,0,30,70.12016270164109,
84,2021-05-01,1,0,30,74.32366519188804,
85,2021-05-01,1,0,30,0.0,
86,2021-05-01,1,0,30,98.46822505464394,
87,2021-05-01,1,0,30,0.0,
88,2021-05-01,1,0,30,0.0,
89,2021-05-01,1,0,30,87.19990684402723,
90,2021-05-01,1,0,30,91.17884246988808,
91,2021-05-01,1,0,30,90.12621687226543,
92,2021-05-01,1,0,30,94.97256392237152,
93,2021-05-01,1,0,30,99.6534744189775,
94,2021-05-01,1,0,30,86.6048758136167,
95,2021-05-01,1,0,30,105.17895205408901,
96,2021-05-01,1,0,30,86.61784489876402,
97,2021-05-01,1,0,30,101.99437773072486,
98,2021-05-01,1,0,30,96.96207641520547,
99,2021-05-01,1,0,30,85.96707400641107,
100,2021-05-01,1,0,30,96.81434874204088,
101,2021-05-01,1,0,30,104.18620786130924,
102,2021-05-01,1,0,30,103.36556735128678,
103,2021-05-01,1,0,30,106.81881031621198,
104,2021-05-01,1,0,30,96.1406967583376,
105,2021-05-01,1,0,30,100.11170579290442,
106,2021-05-01,1,0,30,94.12476697862073,
107,2021-05-01,1,0,30,78.4022356682795,
108,2021-05-01,1,0,30,103.24028225993558,
109,2021-05-01,1,0,30,92.17900873860928,
110,2021-05-01,1,0,30,96.99918791842398,
111,2021-05-01,1,0,30,92.50448385957141,
112,2021-05-01,1,0,30,93.4290790528641,
113,2021-05-01,1,0,30,98.32678067901475,
114,2021-05-01,1,0,30,95.03694396198264,
115,2021-05-01,1,0,30,104.49781908091056,
116,2021-05-01,1,0,30,106.83225371877631,
117,2021-05-01,1,0,30,93.49543065435672,
118,2021-05-01,1,0,30,93.11281645569619,
119,2021-05-01,1,0,30,75.03581372358217,
120,2021-05-01,1,0,30,83.95710826296867,
121,2021-05-01,1,0,30,0.0,
122,2021-05-01,1,0,30,94.07588187208705,
123,2021-05-01,1,0,30,81.85343408824313,
124,2021-05-01,1,0,30,81.01101756536124,
125,2021-05-01,1,0,30,93.40492821964831,
126,2021-05-01,1,0,30,90.23400386705751,
127,2021-05-01,1,0,30,83.99711701161947,
128,2021-05-01,1,0,30,73.81721704858391,
129,2021-05-01,1,0,30,88.00058596988018,
130,2021-05-01,1,0,30,92.92046234573185,
131,2021-05-01,1,0,30,87.43818897637796,
132,2021-05-01,1,0,30,94.2094740172687,
133,2021-05-01,1,0,30,92.06497835133345,
134,2021-05-01,1,0,30,0.0,
135,2021-05-01,1,0,30,90.96132935326219,
136,2021-05-01,1,0,30,90.26116222950125,
137,2021-05-01,1,0,30,98.94431802106955,
138,2021-05-01,1,0,30,85.51031352795837,
139,2021-05-01,1,0,30,75.73384709427332,
140,2021-05-01,1,0,30,86.17142782385498,
141,2021-05-01,1,0,30,77.3781618578668,
142,2021-05-01,1,0,30,81.18476696240081,
143,2021-05-01,1,0,30,92.84554292660859,
144,2021-05-01,1,0,30,81.30669639689341,
145,2021-05-01,1,0,30,80.24027124194544,
146,2021-05-01,1,0,30,98.61838529290388,
147,2021-05-01,1,0,30,103.82710370848376,
148,2021-05-01,1,0,30,97.85913284378684,
149,2021-05-01,1,0,30,61.47373271889401,
150,2021-05-01,1,0,30,92.44406027434997,
151,2021-05-01,1,0,30,100.74708758542235,
152,2021-05-01,1,0,30,85.49372984527153,
153,2021-05-01,1,0,30,91.55281783280866,
154,2021-05-01,1,0,30,103.63388502680257,
155,2021-05-01,1,0,30,96.67751443153375,
156,2021-05-01,1,0,30,97.36548546728541,
157,2021-05-01,1,0,30,82.57662970498258,
158,2021-05-01,1,0,30,89.17768466576366,
159,2021-05-01,1,0,30,102.05548014014275,
160,2021-05-01,1,0,30,105.4979294337045,
161,2021-05-01,1,0,30,93.97972697161045,
162,2021-05-01,1,0,30,97.3904800958237,
163,2021-05-01,1,0,30,88.2996863828726,
164,2021-05-01,1,0,30,63.945706713102766,
165,2021-05-01,1,0,30,77.96712328767123,
166,2021-05-01,1,0,30,95.08136666852421,
167,2021-05-01,1,0,30,100.05630429352078,
168,2021-05-01,1,0,30,93.4426358454269,
169,2021-05-01,1,0,30,83.9827842726528,
170,2021-05-01,1,0,30,101.0184101841103,
171,2021-05-01,1,0,30,73.52481668943442,
172,2021-05-01,1,0,30,99.12486763239335,
173,2021-05-01,1,0,30,62.21424218215179,
174,2021-05-01,1,0,30,91.22458642817257,
175,2021-05-01,1,0,30,95.22764775676644,
176,2021-05-01,1,0,30,102.90970971637995,
177,2021-05-01,1,0,30,84.7968684631805,
178,2021-05-01,1,0,30,104.34841313863679,
179,2021-05-01,1,0,30,83.82857142857144,
180,2021-05-01,1,0,30,88.23955797372263,
181,2021-05-01,1,0,30,0.0,
182,2021-05-01,1,0,30,89.76370656370656,
183,2021-05-01,1,0,30,99.5273348326276,
184,2021-05-01,1,0,30,91.89305211768081,
185,2021-05-01,1,0,30,82.79801397345763,
186,2021-05-01,1,0,30,78.59026466894012,
187,2021-05-01,1,0,30,81.588035225922,
188,2021-05-01,1,0,30,95.82022265116147,
189,2021-05-01,1,0,30,74.18425842874332,
190,2021-05-01,1,0,30,75.77118205440608,
191,2021-05-01,1,0,30,77.09928778472606,
192,2021-05-01,1,0,30,75.75535202681294,
193,2021-05-01,1,0,30,77.3918157644014,
194,2021-05-01,1,0,30,89.66608542971443,
195,2021-05-01,1,0,30,92.50590738286294,
196,2021-05-01,1,0,30,91.93929405827888,
197,2021-05-01,1,0,30,79.39050634930767,
198,2021-05-01,1,0,30,75.00256912989542,
199,2021-05-01,1,0,30,79.03567731723076,
200,2021-05-01,1,0,30,84.57972616073945,
201,2021-05-01,1,0,30,0.0,
202,2021-05-01,1,0,30,88.73234307316258,
203,2021-05-01,1,0,30,84.02516738144658,
204,2021-05-01,1,0,30,94.57491355161646,
205,2021-05-01,1,0,30,94.00754541416347,
206,2021-05-01,1,0,30,83.45576222174951,
207,2021-05-01,1,0,30,0.0,
208,2021-05-01,1,0,30,0.0,
209,2021-05-01,1,0,30,93.47716426914582,
210,2021-05-01,1,0,30,93.47548090195835,
211,2021-05-01,1,0,30,89.54512635379062,
212,2021-05-01,1,0,30,80.33699409310456,
213,2021-05-01,1,0,30,79.44706583850932,
214,2021-05-01,1,0,30,42.03041069100392,
215,2021-05-01,1,0,30,79.57726316205517,
216,2021-05-01,1,0,30,82.7242336601479,
217,2021-05-01,1,0,30,71.24166630532412,
218,2021-05-01,1,0,30,87.18372633932157,
219,2021-05-01,1,0,30,0.0,
220,2021-05-01,1,0,30,85.77954143111442,
221,2021-05-01,1,0,30,0.0,
222,2021-05-01,1,0,30,0.0,
223,2021-05-01,1,0,30,0.0,
224,2021-05-01,1,0,30,52.145719537815125,
225,2021-05-01,1,0,30,88.89432045849203,
226,2021-05-01,1,0,30,78.01103377368669,
0,2021-05-01,1,0,45,85.16131826338778,
1,2021-05-01,1,0,45,90.5782863880109,
2,2021-05-01,1,0,45,80.80845509345873,
3,2021-05-01,1,0,45,72.68860984364892,
4,2021-05-01,1,0,45,87.72816029869941,
5,2021-05-01,1,0,45,88.94856803759457,
6,2021-05-01,1,0,45,75.09431862545172,
7,2021-05-01,1,0,45,0.0,
8,2021-05-01,1,0,45,82.97902161539628,
9,2021-05-01,1,0,45,86.40013892507396,
10,2021-05-01,1,0,45,88.21419776958194,
11,2021-05-01,1,0,45,87.38316132289184,
12,2021-05-01,1,0,45,68.29812479184628,
13,2021-05-01,1,0,45,88.6828807477659,
14,2021-05-01,1,0,45,103.26744326016534,
15,2021-05-01,1,0,45,83.94671057953383,
16,2021-05-01,1,0,45,30.73112582781457,
17,2021-05-01,1,0,45,92.47783498094284,
18,2021-05-01,1,0,45,98.69385579894981,
19,2021-05-01,1,0,45,85.0071418942913,
20,2021-05-01,1,0,45,97.59237076210339,
21,2021-05-01,1,0,45,85.03422641527676,
22,2021-05-01,1,0,45,0.0,
23,2021-05-01,1,0,45,81.99737539246556,
24,2021-05-01,1,0,45,98.72486867398956,
25,2021-05-01,1,0,45,67.61388087980889,
26,2021-05-01,1,0,45,99.7650158541233,
27,2021-05-01,1,0,45,93.79603630612965,
28,2021-05-01,1,0,45,89.4989334296501,
29,2021-05-01,1,0,45,95.79919525696658,
30,2021-05-01,1,0,45,104.2100645848276,
31,2021-05-01,1,0,45,92.02214393558951,
32,2021-05-01,1,0,45,99.09986650011996,
33,2021-05-01,1,0,45,91.07876148207941,
34,2021-05-01,1,0,45,78.23383897316221,
35,2021-05-01,1,0,45,90.1115597091926,
36,2021-05-01,1,0,45,91.52695585919369,
37,2021-05-01,1,0,45,103.14096920702815,
38,2021-05-01,1,0,45,104.92955072516676,
39,2021-05-01,1,0,45,96.32040145166663,
40,2021-05-01,1,0,45,93.86790781161443,
41,2021-05-01,1,0,45,76.56783680920287,
42,2021-05-01,1,0,45,83.97135840332766,
43,2021-05-01,1,0,45,77.90777525997396,
44,2021-05-01,1,0,45,90.61432360742704,
45,2021-05-01,1,0,45,91.52227166439377,
46,2021-05-01,1,0,45,125.4384958081847,
47,2021-05-01,1,0,45,80.57731399151848,
48,2021-05-01,1,0,45,88.30802865490291,
49,2021-05-01,1,0,45,89.79595735857168,
50,2021-05-01,1,0,45,84.64091780941297,
51,2021-05-01,1,0,45,71.10472170419808,
52,2021-05-01,1,0,45,82.68227359387505,
53,2021-05-01,1,0,45,0.0,
54,2021-05-01,1,0,45,105.01943071989714,
55,2021-05-01,1,0,45,96.08902981191056,
56,2021-05-01,1,0,45,100.63897534944341,
57,2021-05-01,1,0,45,101.51525354604964,
58,2021-05-01,1,0,45,88.33670104967041,
59,2021-05-01,1,0,45,93.2208304928078,
60,2021-05-01,1,0,45,0.0,
61,2021-05-01,1,0,45,100.6035185292903,
62,2021-05-01,1,0,45,84.88081401239714,
63,2021-05-01,1,0,45,97.1232639005889,
64,2021-05-01,1,0,45,91.35286822945663,
65,2021-05-01,1,0,45,103.05487259686339,
66,2021-05-01,1,0,45,83.92645560414444,
67,2021-05-01,1,0,45,82.7707041009856,
68,2021-05-01,1,0,45,69.89143402211482,
69,2021-05-01,1,0,45,83.25721751210949,
70,2021-05-01,1,0,45,0.0,
71,2021-05-01,1,0,45,80.29284798416509,
72,2021-05-01,1,0,45,47.406179991755856,
73,2021-05-01,1,0,45,91.17894234180993,
74,2021-05-01,1,0,45,98.54057979899368,
75,2021-05-01,1,0,45,96.53041891581731,
76,2021-05-01,1,0,45,91.830344327528,
77,2021-05-01,1,0,45,89.9797015993633,
78,2021-05-01,1,0,45,106.20139155012892,
79,2021-05-01,1,0,45,101.03387443226556,
80,2021-05-01,1,0,45,84.9517772327434,
81,2021-05-01,1,0,45,101.54920383392586,
82,2021-05-01,1,0,45,98.69718083158807,
83,2021-05-01,1,0,45,65.5896744066767,
84,2021-05-01,1,0,45,84.89971383147854,
85,2021-05-01,1,0,45,0.0,
86,2021-05-01,1,0,45,92.13521452566279,
87,2021-05-01,1,0,45,0.0,
88,2021-05-01,1,0,45,0.0,
89,2021-05-01,1,0,45,87.36797258672814,
90,2021-05-01,1,0,45,92.04834063225694,
91,2021-05-01,1,0,45,87.80125416163679,
92,2021-05-01,1,0,45,98.55463400831506,
93,2021-05-01,1,0,45,99.71556812055417,
94,2021-05-01,1,0,45,91.57126454903144,
95,2021-05-01,1,0,45,100.78054168261899,
96,2021-05-01,1,0,45,86.62712834981464,
97,2021-05-01,1,0,45,98.14529634873031,
98,2021-05-01,1,0,45,95.03697092429206,
99,2021-05-01,1,0,45,82.92182421901971,
100,2021-05-01,1,0,45,93.97817333365924,
101,2021-05-01,1,0,45,102.39999584748482,
102,2021-05-01,1,0,45,104.71320989624884,
103,2021-05-01,1,0,45,104.91885062683248,
104,2021-05-01,1,0,45,91.4346778825302,
105,2021-05-01,1,0,45,95.32886342961932,
106,2021-05-01,1,0,45,97.24661075020491,
107,2021-05-01,1,0,45,82.7485373049897,
108,2021-05-01,1,0,45,102.17396336530504,
109,2021-05-01,1,0,45,90.46608189259206,
110,2021-05-01,1,0,45,94.86391628338866,
111,2021-05-01,1,0,45,99.66740350302157,
112,2021-05-01,1,0,45,96.73210132964093,
113,2021-05-01,1,0,45,95.89847882525865,
114,2021-05-01,1,0,45,90.54296612175543,
115,2021-05-01,1,0,45,98.92978620411455,
116,2021-05-01,1,0,45,107.10672304439746,
117,2021-05-01,1,0,45,90.44351336212894,
118,2021-05-01,1,0,45,0.0,
119,2021-05-01,1,0,45,70.83997520236319,
120,2021-05-01,1,0,45,77.337269549108,
121,2021-05-01,1,0,45,0.0,
122,2021-05-01,1,0,45,88.1349121478671,
123,2021-05-01,1,0,45,79.62342870930985,
124,2021-05-01,1,0,45,76.71185067382446,
125,2021-05-01,1,0,45,89.64041660972934,
126,2021-05-01,1,0,45,89.50196214707746,
127,2021-05-01,1,0,45,84.87388121493665,
128,2021-05-01,1,0,45,80.58725476550953,
129,2021-05-01,1,0,45,90.07225457353836,
130,2021-05-01,1,0,45,90.33769981852119,
131,2021-05-01,1,0,45,86.99593507937726,
132,2021-05-01,1,0,45,94.23231399269966,
133,2021-05-01,1,0,45,89.73199447359133,
134,2021-05-01,1,0,45,0.0,
135,2021-05-01,1,0,45,110.26159749670619,
136,2021-05-01,1,0,45,83.75170868811989,
137,2021-05-01,1,0,45,99.9143217673027,
138,2021-05-01,1,0,45,82.90960377746289,
139,2021-05-01,1,0,45,74.20083491624791,
140,2021-05-01,1,0,45,81.2090456139752,
141,2021-05-01,1,0,45,84.75097222214069,
142,2021-05-01,1,0,45,80.73675531278712,
143,2021-05-01,1,0,45,94.16251901083083,
144,2021-05-01,1,0,45,86.40996081768668,
145,2021-05-01,1,0,45,77.99881911637394,
146,2021-05-01,1,0,45,100.10384002814745,
147,2021-05-01,1,0,45,103.67228756226511,
148,2021-05-01,1,0,45,96.73274926202127,
149,2021-05-01,1,0,45,88.932,
150,2021-05-01,1,0,45,94.66912576698073,
151,2021-05-01,1,0,45,100.76849488398177,
152,2021-05-01,1,0,45,84.82228521799858,
153,2021-05-01,1,0,45,73.95812793394533,
154,2021-05-01,1,0,45,104.41748657698606,
155,2021-05-01,1,0,45,102.5036078071487,
156,2021-05-01,1,0,45,91.89842083105295,
157,2021-05-01,1,0,45,68.93096525096524,
158,2021-05-01,1,0,45,80.04394392901105,
159,2021-05-01,1,0,45,100.74478392356997,
160,2021-05-01,1,0,45,104.48484926227408,
161,2021-05-01,1,0,45,88.87687242181697,
162,2021-05-01,1,0,45,92.54612132927623,
163,2021-05-01,1,0,45,93.06073354220209,
164,2021-05-01,1,0,45,63.94155737704918,
165,2021-05-01,1,0,45,60.61067180242438,
166,2021-05-01,1,0,45,93.44604137343748,
167,2021-05-01,1,0,45,99.42494859092265,
168,2021-05-01,1,0,45,77.25633802816903,
169,2021-05-01,1,0,45,84.38053108275729,
170,2021-05-01,1,0,45,101.09928240946338,
171,2021-05-01,1,0,45,76.25564239690837,
172,2021-05-01,1,0,45,99.1453428268166,
173,2021-05-01,1,0,45,61.46444827725658,
174,2021-05-01,1,0,45,84.89634728296622,
175,2021-05-01,1,0,45,93.42929380477142,
176,2021-05-01,1,0,45,102.18754236280444,
177,2021-05-01,1,0,45,76.64256962953895,
178,2021-05-01,1,0,45,102.81696197469938,
179,2021-05-01,1,0,45,0.0,
180,2021-05-01,1,0,45,79.83194311630714,
181,2021-05-01,1,0,45,149.9258426966292,
182,2021-05-01,1,0,45,0.0,
183,2021-05-01,1,0,45,105.72751943794053,
184,2021-05-01,1,0,45,97.57921044874882,
185,2021-05-01,1,0,45,79.89213376286337,
186,2021-05-01,1,0,45,80.53419392847434,
187,2021-05-01,1,0,45,80.55251051109774,
188,2021-05-01,1,0,45,93.40804151307941,
189,2021-05-01,1,0,45,62.303525051336905,
190,2021-05-01,1,0,45,72.13820194898186,
191,2021-05-01,1,0,45,73.56359635117205,
192,2021-05-01,1,0,45,74.98091777895935,
193,2021-05-01,1,0,45,75.1204484763237,
194,2021-05-01,1,0,45,87.80933445757073,
195,2021-05-01,1,0,45,91.0727802560351,
196,2021-05-01,1,0,45,93.22805529956628,
197,2021-05-01,1,0,45,73.75674304026799,
198,2021-05-01,1,0,45,75.25955958600815,
199,2021-05-01,1,0,45,79.29058060676903,
200,2021-05-01,1,0,45,87.57171929920032,
201,2021-05-01,1,0,45,0.0,
202,2021-05-01,1,0,45,85.58465641492512,
203,2021-05-01,1,0,45,71.50097655363207,
204,2021-05-01,1,0,45,92.88054569642965,
205,2021-05-01,1,0,45,92.54038883132674,
206,2021-05-01,1,0,45,86.68989447806435,
207,2021-05-01,1,0,45,0.0,
208,2021-05-01,1,0,45,0.0,
209,2021-05-01,1,0,45,90.69176176719382,
210,2021-05-01,1,0,45,91.5975870500172,
211,2021-05-01,1,0,45,68.1155513572827,
212,2021-05-01,1,0,45,76.41056721043313,
213,2021-05-01,1,0,45,0.0,
214,2021-05-01,1,0,45,50.84879976291614,
215,2021-05-01,1,0,45,79.25617984512157,
216,2021-05-01,1,0,45,84.12580271315016,
217,2021-05-01,1,0,45,62.30806214160908,
218,2021-05-01,1,0,45,86.33123999130375,
219,2021-05-01,1,0,45,0.0,
220,2021-05-01,1,0,45,88.95360257646824,
221,2021-05-01,1,0,45,0.0,
222,2021-05-01,1,0,45,0.0,
223,2021-05-01,1,0,45,0.0,
224,2021-05-01,1,0,45,53.17682926829268,
225,2021-05-01,1,0,45,91.05758928346522,
226,2021-05-01,1,0,45,72.63132341765281,
